office_name,gemeente,plaats,source_origin,raw_place,normalized_place,phone,email,lat,lon,reason,suggested_domains,notes
Staete,(unknown),,overpass_osm,,(unknown),,,51.6953269,5.2187303,missing_website_unresolved,staete.nl,osm_type=node | osm_id=1709324880 | normalized_place=(unknown) | normalized_gemeente=(unknown) | place_status=needs_review | lat=51.6953269 | lon=5.2187303
Staete Makelaars,(unknown),,overpass_osm,,(unknown),,,51.6953696,5.2187434,missing_website_unresolved,staete.nl,osm_type=node | osm_id=1709324882 | normalized_place=(unknown) | normalized_gemeente=(unknown) | place_status=needs_review | lat=51.6953696 | lon=5.2187434
NL Wonen,'s-Hertogenbosch,'s-Hertogenbosch,overpass_osm,'s-Hertogenbosch,'s-Hertogenbosch,,,51.6800639,5.3173487,missing_website_unresolved,"hrs.nl,kinmakelaars.nl,kom-wonen.nl",osm_type=node | osm_id=2730768798 | raw_addr_city='s-Hertogenbosch | normalized_place='s-Hertogenbosch | normalized_gemeente='s-Hertogenbosch | place_status=alias | postcode=5216BW | lat=51.6800639 | lon=5.3173487
Roscam Makelaar,'s-Hertogenbosch,'s-Hertogenbosch,overpass_osm,'s-Hertogenbosch,'s-Hertogenbosch,,,51.690629,5.31619,missing_website_unresolved,,osm_type=node | osm_id=2731132571 | raw_addr_city='s-Hertogenbosch | normalized_place='s-Hertogenbosch | normalized_gemeente='s-Hertogenbosch | place_status=alias | postcode=5211PR | lat=51.690629 | lon=5.31619
Staete,'s-Hertogenbosch,'s-Hertogenbosch,overpass_osm,'s-Hertogenbosch,'s-Hertogenbosch,,,51.6870152,5.3056563,missing_website_unresolved,staete.nl,osm_type=node | osm_id=2736792032 | raw_addr_city='s-Hertogenbosch | normalized_place='s-Hertogenbosch | normalized_gemeente='s-Hertogenbosch | place_status=alias | postcode=5211KN | lat=51.6870152 | lon=5.3056563
Housing Solutions,Breda,Breda,overpass_osm,Breda,Breda,,,51.5933382,4.7798845,missing_website_unresolved,,osm_type=node | osm_id=2739224386 | raw_addr_city=Breda | normalized_place=Breda | normalized_gemeente=Breda | place_status=current_gemeente | postcode=4811AK | lat=51.5933382 | lon=4.7798845
Nooijen Makelaardij,Land van Cuijk,Boxmeer,overpass_osm,Boxmeer,Boxmeer,,,51.6490061,5.9504002,missing_website_unresolved,,osm_type=node | osm_id=2754648331 | raw_addr_city=Boxmeer | normalized_place=Boxmeer | normalized_gemeente=Land van Cuijk | place_status=former_gemeente | postcode=5831KC | lat=51.6490061 | lon=5.9504002
Bato makelaars,'s-Hertogenbosch,'s-Hertogenbosch,overpass_osm,'s-Hertogenbosch,'s-Hertogenbosch,,,51.7229017,5.3138655,missing_website_unresolved,batomakelaars.nl,osm_type=node | osm_id=2756770609 | raw_addr_city='s-Hertogenbosch | normalized_place='s-Hertogenbosch | normalized_gemeente='s-Hertogenbosch | place_status=alias | postcode=5235KG | lat=51.7229017 | lon=5.3138655
BrouwersHonselaarMakelaars,Sint-Michielsgestel,Berlicum,overpass_osm,Berlicum,Berlicum,,,51.67865,5.4005472,missing_website_unresolved,,osm_type=node | osm_id=2760250993 | raw_addr_city=Berlicum | normalized_place=Berlicum | normalized_gemeente=Sint-Michielsgestel | place_status=locality_to_gemeente | postcode=5258KA | lat=51.67865 | lon=5.4005472
Solutio 365,Eindhoven,Eindhoven,overpass_osm,Eindhoven,Eindhoven,,,51.4381796,5.4737167,missing_website_unresolved,,osm_type=node | osm_id=2764374260 | raw_addr_city=Eindhoven | normalized_place=Eindhoven | normalized_gemeente=Eindhoven | place_status=current_gemeente | postcode=5611HB | lat=51.4381796 | lon=5.4737167
Schuurmans Vastgoed,Vught,Vught,overpass_osm,Vught,Vught,,,51.6447695,5.2918915,missing_website_unresolved,,osm_type=node | osm_id=2772353645 | raw_addr_city=Vught | normalized_place=Vught | normalized_gemeente=Vught | place_status=current_gemeente | postcode=5262GJ | lat=51.6447695 | lon=5.2918915
't Sas,Vught,Vught,overpass_osm,Vught,Vught,,,51.6591236,5.2980922,missing_website_unresolved,,osm_type=node | osm_id=2772758803 | raw_addr_city=Vught | normalized_place=Vught | normalized_gemeente=Vught | place_status=current_gemeente | postcode=5261CJ | lat=51.6591236 | lon=5.2980922
Kruijswijk,Son en Breugel,Son en Breugel,overpass_osm,Son en Breugel,Son en Breugel,,,51.5089269,5.4925992,missing_website_unresolved,kruijswijkmakelaardij.nl,osm_type=node | osm_id=2792749783 | raw_addr_city=Son en Breugel | normalized_place=Son en Breugel | normalized_gemeente=Son en Breugel | place_status=alias | postcode=5691AB | lat=51.5089269 | lon=5.4925992
Van de Schans Makelaardij B.V.,Veldhoven,Veldhoven,overpass_osm,Veldhoven,Veldhoven,,,51.4249826,5.4150752,missing_website_unresolved,"vandeschans.nl,vandenboschmakelaars.com,krabben.nl",osm_type=node | osm_id=2833323390 | raw_addr_city=Veldhoven | normalized_place=Veldhoven | normalized_gemeente=Veldhoven | place_status=current_gemeente | postcode=5502JV | lat=51.4249826 | lon=5.4150752
Shirley Kneepkens Makelaardij,Tilburg,Berkel-Enschot,overpass_osm,Berkel-Enschot,Berkel-Enschot,,,51.5866481,5.1401273,missing_website_unresolved,,osm_type=node | osm_id=2841727167 | raw_addr_city=Berkel-Enschot | normalized_place=Berkel-Enschot | normalized_gemeente=Tilburg | place_status=locality_to_gemeente | postcode=5056HD | lat=51.5866481 | lon=5.1401273
Rotsvast,Tilburg,Tilburg,overpass_osm,Tilburg,Tilburg,,,51.5534459,5.0902441,missing_website_unresolved,,osm_type=node | osm_id=2850738223 | raw_addr_city=Tilburg | normalized_place=Tilburg | normalized_gemeente=Tilburg | place_status=current_gemeente | postcode=5038WS | lat=51.5534459 | lon=5.0902441
Becx Makelaardij,Tilburg,Tilburg,overpass_osm,Tilburg,Tilburg,,,51.5553146,5.090937,missing_website_unresolved,"woonplezier.nl,becksmakelaardij.nl",osm_type=node | osm_id=2850741338 | raw_addr_city=Tilburg | normalized_place=Tilburg | normalized_gemeente=Tilburg | place_status=current_gemeente | postcode=5038WP | lat=51.5553146 | lon=5.090937
Kempenburg,Tilburg,Tilburg,overpass_osm,Tilburg,Tilburg,,,51.5655619,5.0894537,missing_website_unresolved,,osm_type=node | osm_id=2850944530 | raw_addr_city=Tilburg | normalized_place=Tilburg | normalized_gemeente=Tilburg | place_status=current_gemeente | postcode=5014HH | lat=51.5655619 | lon=5.0894537
Biemans Makelaardij en Assurantiën,Oosterhout,Oosterhout,overpass_osm,Oosterhout,Oosterhout,,,51.6431889,4.8567266,missing_website_unresolved,gastmakelaardij.nl,osm_type=node | osm_id=2853493220 | raw_addr_city=Oosterhout | normalized_place=Oosterhout | normalized_gemeente=Oosterhout | place_status=current_gemeente | postcode=4901KC | lat=51.6431889 | lon=4.8567266
VDP,Gilze en Rijen,Rijen,overpass_osm,Rijen,Rijen,,,51.5891881,4.918568,missing_website_unresolved,,osm_type=node | osm_id=2857105816 | raw_addr_city=Rijen | normalized_place=Rijen | normalized_gemeente=Gilze en Rijen | place_status=locality_to_gemeente | postcode=5121JA | lat=51.5891881 | lon=4.918568
Kin Makelaars,Gilze en Rijen,Rijen,overpass_osm,Rijen,Rijen,,,51.5897663,4.9182573,missing_website_unresolved,,osm_type=node | osm_id=2857127074 | raw_addr_city=Rijen | normalized_place=Rijen | normalized_gemeente=Gilze en Rijen | place_status=locality_to_gemeente | postcode=5121JA | lat=51.5897663 | lon=4.9182573
VDP,Gilze en Rijen,Rijen,overpass_osm,Rijen,Rijen,,,51.5887748,4.9188365,missing_website_unresolved,,osm_type=node | osm_id=2857157742 | raw_addr_city=Rijen | normalized_place=Rijen | normalized_gemeente=Gilze en Rijen | place_status=locality_to_gemeente | postcode=5121JA | lat=51.5887748 | lon=4.9188365
Van de Zande Makelaardij,Waalwijk,Waalwijk,overpass_osm,Waalwijk,Waalwijk,,,51.6911809,5.0755497,missing_website_unresolved,"vandersande.nl,vandeschans.nl,vandekasteele.com",osm_type=node | osm_id=2892316172 | raw_addr_city=Waalwijk | normalized_place=Waalwijk | normalized_gemeente=Waalwijk | place_status=current_gemeente | postcode=5142CD | lat=51.6911809 | lon=5.0755497
Debbie Mels Lommers Makelaars,(unknown),,overpass_osm,,(unknown),,,51.427947,5.4865195,missing_website_unresolved,,osm_type=node | osm_id=3579525469 | normalized_place=(unknown) | normalized_gemeente=(unknown) | place_status=needs_review | lat=51.427947 | lon=5.4865195
Samen-wonen Vastgoed Makelaardij,(unknown),,overpass_osm,,(unknown),,,51.4274356,5.4864557,missing_website_unresolved,"hrs.nl,statigwonen.nl,kom-wonen.nl",osm_type=node | osm_id=3579525478 | normalized_place=(unknown) | normalized_gemeente=(unknown) | place_status=needs_review | lat=51.4274356 | lon=5.4864557
Staete Makelaardij,(unknown),,overpass_osm,,(unknown),,,51.6913769,5.0744028,missing_website_unresolved,staete.nl,osm_type=node | osm_id=4895147267 | normalized_place=(unknown) | normalized_gemeente=(unknown) | place_status=needs_review | lat=51.6913769 | lon=5.0744028
Pit Makerlaars,Veldhoven,Veldhoven,overpass_osm,Veldhoven,Veldhoven,,,51.4043667,5.3991721,missing_website_unresolved,"viermakelaars.nl,digimakelaars.nl,makelaarsplein.com",osm_type=node | osm_id=6287108383 | raw_addr_city=Veldhoven | normalized_place=Veldhoven | normalized_gemeente=Veldhoven | place_status=current_gemeente | postcode=5504HB | lat=51.4043667 | lon=5.3991721
Van Kasteren Makelaardij,Veldhoven,Veldhoven,overpass_osm,Veldhoven,Veldhoven,,,51.40318,5.3970564,missing_website_unresolved,"vandekasteele.com,vangeffen.nl,vanwetten.nl",osm_type=node | osm_id=6287110986 | raw_addr_city=Veldhoven | normalized_place=Veldhoven | normalized_gemeente=Veldhoven | place_status=current_gemeente | postcode=5504HH | lat=51.40318 | lon=5.3970564
Casa Nostra,(unknown),,overpass_osm,,(unknown),,,51.2740686,5.5734861,missing_website_unresolved,,osm_type=node | osm_id=11786769549 | normalized_place=(unknown) | normalized_gemeente=(unknown) | place_status=needs_review | lat=51.2740686 | lon=5.5734861
Adriaan Heuvel,(unknown),,overpass_osm,,(unknown),,,51.4243481,5.4854966,missing_website_unresolved,heuvelmakelaars.nl,osm_type=node | osm_id=11955510586 | normalized_place=(unknown) | normalized_gemeente=(unknown) | place_status=needs_review | lat=51.4243481 | lon=5.4854966
Hypodomus,(unknown),,overpass_osm,,(unknown),,,51.4244475,5.4855513,missing_website_unresolved,hypodomus-breda.nl,osm_type=node | osm_id=11955512985 | normalized_place=(unknown) | normalized_gemeente=(unknown) | place_status=needs_review | lat=51.4244475 | lon=5.4855513
Meneer de Makelaar,(unknown),,overpass_osm,,(unknown),,,51.4259964,5.4859299,missing_website_unresolved,wernersandersmakelaardij.nl,osm_type=node | osm_id=11955530728 | normalized_place=(unknown) | normalized_gemeente=(unknown) | place_status=needs_review | lat=51.4259964 | lon=5.4859299
Slippens & Vermeer,(unknown),,overpass_osm,,(unknown),,,51.4295026,5.4867953,missing_website_unresolved,,osm_type=node | osm_id=11955722140 | normalized_place=(unknown) | normalized_gemeente=(unknown) | place_status=needs_review | lat=51.4295026 | lon=5.4867953
