naam,plaats,adres,provincie,bronnen,website,koopaanbod_url,koopaanbod_confidence,koopaanbod_metodo,platform_hint,requires_js,notas
Makelaars- en Adviesburo Broeders,Alphen Chaam,"Dorpsstraat 74, CHAAM",Noord-Brabant,nvm,http://www.broedersmakelaardij.nl/,http://www.broedersmakelaardij.nl/aanbod/woningaanbod/gilze/koop/huis-10225430-Nerhovensestraat-17/,0.94,regla,realworks,False,"prijzen=4, koop=5, huur=0"
Van Hoven & Oomen,Alphen Chaam,"Anneville-laan 103, ULVENHOUT AC",Noord-Brabant,nvm,https://www.vhno.nl/,,0.00,none,,False,home no cargó
Zoomer Nijp Taxatieburo B.V.,Altena,"Dudokplein 220, DORDRECHT",Noord-Brabant,nvm,http://www.nijpmakelaars.nl/,,0.00,none,,False,sin candidatos de koop
Hoogveste B.V.,Altena,"Kerkstraat 4, SLIEDRECHT",Noord-Brabant,nvm,http://www.hoogveste.nl/,http://www.hoogveste.nl/aanbod/woningaanbod/nieuwe-niedorp/koop/huis-10300026-Vijverweg-1673/,0.94,regla,realworks,False,"prijzen=9, koop=4, huur=0"
Paans Makelaars in onroerende goederen,Altena,"Hoogstraat 44, WERKENDAM",Noord-Brabant,nvm,http://www.paansmakelaars.nl/,https://www.paansmakelaars.nl/aanbod/koopwoningen,0.95,regla,,False,"prijzen=24, koop=2, huur=0"
NVW Vastgoed B.V.,Altena,"Ravelijn 93, WOUDRICHEM",Noord-Brabant,nvm,,,0.00,none,,False,
Lamper & van Vliet Woningmakelaars,Altena,"Buitendams 40, HARDINXVELD-GIESSENDAM",Noord-Brabant,nvm,http://www.lvmakelaars.nl/,https://www.lvmakelaars.nl/wonen/,0.75,regla,realworks,False,"prijzen=12, koop=2, huur=0"
Baas Makelaardij B.V.,Altena,"Vrieseweg 155, DORDRECHT",Noord-Brabant,nvm,http://www.baasmakelaardij.nl/,http://www.baasmakelaardij.nl/aanbod/woningaanbod/dordrecht/koop/huis-10137064-Dubbeldamseweg-Noord-17/,0.94,regla,realworks,False,"prijzen=4, koop=4, huur=0"
ViaJoop Makelaardij,Altena,"Anjelierstraat 39, WIJK EN AALBURG",Noord-Brabant,nvm,http://www.viajoop.nl/,http://www.viajoop.nl/woningen/?type=koop,0.79,regla,wordpress,False,"prijzen=142, koop=3, huur=1"
Nouwen Makelaardij o.g. b.v.,Altena,"Damplein 50, DORDRECHT",Noord-Brabant,nvm,http://www.nouwen.nl/,https://nouwen.nl/gratis-verkoopadvies/,0.30,home-fallback,realworks,True,mejor candidato sin verificar (score=1.58)
Hofstede Land van Heusden,Altena,"Tuinstraat 18, VEEN",Noord-Brabant,nvm,https://www.hofstedelandvanheusden.nl/,,0.00,none,,False,home no cargó
Vos Woningmakelaardij,Altena,"Kerkbuurt 48, SLIEDRECHT",Noord-Brabant,nvm,https://www.voswoningmakelaardij.nl/,https://www.voswoningmakelaardij.nl/aanbod/,0.67,regla,wordpress,False,"prijzen=12, koop=1, huur=0"
Waltmann & Co. Papendrecht b.v.,Altena,"Veerweg 139, PAPENDRECHT",Noord-Brabant,nvm,http://www.waltmann.com/,https://www.waltmann.com/aanbod/koopwoningen,0.95,regla,,False,"prijzen=20, koop=2, huur=0"
Van Geffen Makelaardij,Altena,"Eind 20, GORINCHEM",Noord-Brabant,nvm,http://www.vangeffen.nl/,https://www.vangeffen.nl/aanbod/koopwoningen,0.95,regla,,False,"prijzen=5, koop=1, huur=0"
Mol & Roubos Makelaardij,Altena,"'t Rond 14, WOUDRICHEM",Noord-Brabant,nvm,http://www.molroubosmakelaardij.nl/,https://molroubosmakelaardij.nl/aanbod/,0.67,regla,realworks,False,"prijzen=27, koop=1, huur=0"
Hofstede Makelaardij Werkendam,Altena,"Hoogstraat 24, WERKENDAM",Noord-Brabant,nvm,http://www.hofstedemakelaardij.nl/,,0.00,none,,False,home no cargó
Kolpa OZP makelaars,Altena,"Vissersdijk Beneden 25, DORDRECHT",Noord-Brabant,nvm,http://www.kolpa-ozp.nl/,,0.00,none,realworks,False,sin candidatos de koop
Merwelanden Vastgoed Associatie BV,Altena,"Aletta Jacobs-erf 151, DORDRECHT",Noord-Brabant,nvm,http://www.merwelanden-makelaardij.nl/,,0.00,none,,False,sin candidatos de koop
Oomen Makelaardij & Taxaties,Altena,"Burgemeester Posweg 80, BRAKEL",Noord-Brabant,nvm,http://www.oomenmakelaardij.nl/,https://www.oomenmakelaardij.nl/wonen/,0.75,regla,,False,"prijzen=146, koop=3, huur=0"
Hofstede Bedrijfshuisvesting B.V.,Altena,"Sasdijk 10, WERKENDAM",Noord-Brabant,nvm,https://www.hofstedebedrijfshuisvesting.nl/,,0.00,none,,False,home no cargó
Zoomer Makelaardij B.V.,Altena,"Dudokplein 219B, DORDRECHT",Noord-Brabant,nvm,http://www.zoomermakelaardij.nl/,https://www.zoomermakelaardij.nl/aanbod/koopwoningen,0.95,regla,,False,"prijzen=38, koop=1, huur=0"
Taxanja Taxaties,Altena,"den Oudert 36, WIJK EN AALBURG",Noord-Brabant,nvm,https://www.taxanja.nl/,,0.00,none,,False,sin candidatos de koop
Berkers Taxaties,Asten,"Voorste Heusden 23, HEUSDEN",Noord-Brabant,nvm,https://www.berkerstaxaties.nl/,,0.00,none,,False,sin candidatos de koop
Tulkens Makelaardij,Asten,"Vlinderveld 7, ASTEN",Noord-Brabant,nvm,http://www.tulkensmakelaardij.nl/,http://www.tulkensmakelaardij.nl/aanbod/woningaanbod/koop/,0.95,regla,realworks,False,"prijzen=202, koop=4, huur=1"
Van Houts Makelaardij,Asten,"Dijkstraat 43, ASTEN",Noord-Brabant,nvm,http://www.vanhoutsmakelaardij.nl/,http://www.vanhoutsmakelaardij.nl/aanbod/woningaanbod/asten/koop/huis-10288622-Berkelaar-23/,0.86,regla,realworks,False,"prijzen=4, koop=4, huur=0"
Beter Wonen makelaardij Helma de Corte,Asten,"Wilhelminastraat 51, ASTEN",Noord-Brabant,nvm,http://www.beterwonenmakelaardij.nl/,http://www.beterwonenmakelaardij.nl/aanbod/woningaanbod/asten/koop/huis-10304094-Peelkesakker-38/,0.94,regla,realworks,False,"prijzen=6, koop=5, huur=0"
Makelaars- en Adviesburo Broeders,Baarle Nassau,"Dorpsstraat 74, CHAAM",Noord-Brabant,nvm,http://www.broedersmakelaardij.nl/,http://www.broedersmakelaardij.nl/aanbod/woningaanbod/gilze/koop/huis-10225430-Nerhovensestraat-17/,0.94,regla,realworks,False,"prijzen=4, koop=5, huur=0"
Peter van den Oetelaar Lommers Makelaars,Bergeijk,"Lange Akkers 7, WESTERHOVEN",Noord-Brabant,nvm,http://www.lommersmakelaars.nl/,,0.00,none,,True,sin candidatos de koop
Hennie Kunnen Makelaardij,Bergeijk,"Hof 8, BERGEIJK",Noord-Brabant,nvm,,,0.00,none,,False,
Met Ons Makelaars,Bergeijk,"Hof 63, BERGEIJK",Noord-Brabant,nvm,https://www.metonsmakelaars.nl/,https://www.metonsmakelaars.nl/aanbod,0.67,regla,realworks,False,"prijzen=20, koop=1, huur=0"
Wijman & Jansen ERA makelaars,Bergeijk,"Hof 63, BERGEIJK",Noord-Brabant,nvm,https://www.wijmanjansen.nl/,,0.00,none,,False,home no cargó
DE VIERWINDEN MAKELAARDIJ B.V.,Bergen Op Zoom,"Antwerpsestraat 18, BERGEN OP ZOOM",Noord-Brabant,nvm,http://www.devierwindenmakelaardij.nl/,https://www.devierwindenmakelaardij.nl/property/holleweg-187-bergen-op-zoom-612,0.79,regla,realworks,False,"prijzen=2, koop=3, huur=0"
Viaons Makelaardij B.V.,Bergen Op Zoom,"De Moerkens 19, BERGEN OP ZOOM",Noord-Brabant,nvm,http://www.viaons.nl/,http://www.viaons.nl/aanbod/woningaanbod/,0.94,regla,realworks,False,"prijzen=208, koop=4, huur=2"
Maes Makelaars,Bergen Op Zoom,"Noordzijde Zoom 7, BERGEN OP ZOOM",Noord-Brabant,nvm,http://www.maesgroep.nl/,https://www.maesmakelaars.nl/woningen/te-koop,0.88,regla,,False,"prijzen=12, koop=2, huur=0"
Brabant Makelaardij,Bergen Op Zoom,"Guido Gezellelaan 40A, BERGEN OP ZOOM",Noord-Brabant,nvm,http://www.brabantmakelaardij.nl/,https://www.brabantmakelaardij.nl/huis-verkopen-bergen-op-zoom/,0.30,home-fallback,wordpress,False,mejor candidato sin verificar (score=1.58)
Grosfeld makelaardij,Bergen Op Zoom,"Van Dedemstraat 196, BERGEN OP ZOOM",Noord-Brabant,nvm,,,0.00,none,,False,
Baas Makelaars,Bergen Op Zoom,"Vang 1, HALSTEREN",Noord-Brabant,nvm,http://www.baasmakelaars.nl/,https://baasmakelaars.nl/wonen/nieuwbouw,0.79,regla,realworks,False,"prijzen=16, koop=2, huur=0"
Vink Makelaardij,Bergen Op Zoom,"Achillesstraat 3D, BERGEN OP ZOOM",Noord-Brabant,nvm,http://www.vinkmakelaardij.com/,http://www.vinkmakelaardij.com/woningen/beschikbaar,0.67,regla,realworks,False,"prijzen=13, koop=1, huur=0"
Ketelaars Van Zutphen Makelaardij,Bernheze,"Plein 1969 11, HEESWIJK-DINTHER",Noord-Brabant,nvm,http://www.ketelaarsvanzutphen.nl/,http://www.ketelaarsvanzutphen.nl/aanbod/woningaanbod/koop/,0.95,regla,realworks,False,"prijzen=212, koop=4, huur=1"
Jansen & Van Tuijl Makelaars o.g.,Bernheze,"'t Dorp 4, HEESCH",Noord-Brabant,nvm,http://www.jansen-vantuijl.nl/,http://www.jansen-vantuijl.nl/aanbod/woningaanbod/oss/koop/huis-8457399-Bernhardlaan-43/,0.94,regla,realworks,False,"prijzen=7, koop=4, huur=1"
KOMwonen,Bernheze,"Cereslaan 8, HEESCH",Noord-Brabant,nvm,https://www.kom-wonen.nl/,https://www.kom-wonen.nl/aanbod/woningaanbod/koop/,0.95,regla,realworks,False,"prijzen=208, koop=4, huur=2"
Den Otter Van Vliet,Bernheze,"Cereslaan 8, HEESCH",Noord-Brabant,nvm,https://www.denottervanvliet.nl/,https://denottervanvliet.nl/aan-en-verkoop/,0.30,home-fallback,wordpress,True,mejor candidato sin verificar (score=1.58)
Ed Willems Makelaardij,Best,"Hoofdstraat 3, BEST",Noord-Brabant,nvm,http://www.edwillems.nl/,https://edwillems.nl/woningen/,0.67,regla,wordpress,False,"prijzen=28, koop=1, huur=0"
Van den Berk & Kerkhof Makelaars en Taxateurs,Best,"Eindhovenseweg 30B, BEST",Noord-Brabant,nvm,http://www.berkkerkhof.nl/,https://www.berkkerkhof.nl/actueel/ontdek-het-nieuwbouwproject/,0.30,home-fallback,realworks,False,mejor candidato sin verificar (score=1.58)
M.G.M. Makelaardij B.V.,Best,"Hoofdstraat 1, BEST",Noord-Brabant,nvm,http://www.mgmmakelaardij.nl/,https://www.mgmmakelaardij.nl/aanbod/koop/,0.87,regla,realworks,False,"prijzen=46, koop=2, huur=0"
Box Makelaardij,Bladel,"Markt 33, BLADEL",Noord-Brabant,nvm,http://www.boxmakelaardij.nl/,https://www.boxmakelaardij.nl/aanbod/tussenwoning-vezelstraat-15-reusel/,0.86,regla,wordpress,False,"prijzen=2, koop=3, huur=0"
Roijmans Makelaardij,Bladel,"Horizon 6, BLADEL",Noord-Brabant,nvm,http://www.roijmans.nl/,http://www.roijmans.nl/bedrijfsmatig-aanbod/koop/bladel/hallenstraat/5-h0,0.95,regla,,False,"prijzen=3, koop=4, huur=0"
Jonkers Makelaardij,Boekel,"Kerkstraat 12b, BOEKEL",Noord-Brabant,nvm,https://www.jonkers-makelaardij.nl/,https://www.jonkers-makelaardij.nl/aanbod/woningaanbod/koop/,0.95,regla,realworks,False,"prijzen=132, koop=3, huur=0"
Tijn Maas Makelaardij,Boxtel,"Clarissenstraat 16A, BOXTEL",Noord-Brabant,nvm,https://www.tm-makelaardij.nl/,https://www.tm-makelaardij.nl/woningaanbod/,0.75,regla,realworks,False,"prijzen=15, sin señales huur"
Van der Ven Makelaardij,Boxtel,"Lierenbout 10, BOXTEL",Noord-Brabant,nvm,,,0.00,none,,False,
Makelaardij Christian,Boxtel,"De Linnenbleker 88, BOXTEL",Noord-Brabant,nvm,,,0.00,none,,False,
Nuyens Makelaars,Boxtel,"Rechterstraat 49-b, BOXTEL",Noord-Brabant,nvm,http://www.nuyensmakelaars.nl/,,0.00,none,,False,sin candidatos de koop
Staete Makelaars Boxtel,Boxtel,"Stationsstraat 1, BOXTEL",Noord-Brabant,nvm,https://www.staete.nl/,https://www.staete.nl/aanbod/wonen/tOZUao2/laan-ten-habraken-2-5291-aj/,0.78,regla,,False,"prijzen=6, koop=4, huur=0"
Van Bragt Makelaars & Taxateurs,Breda,"Weerijssingel 48, BREDA",Noord-Brabant,nvm,,,0.00,none,,False,
Roga Makelaars B.V.,Breda,"Ginnekenweg 148, BREDA",Noord-Brabant,nvm,http://www.rogamakelaars.nl/,,0.00,none,,False,home no cargó
Crielaers Makelaardij & Taxaties,Breda,"Plateelbakkerstraat 36, BREDA",Noord-Brabant,nvm,https://www.crielaersmakelaardij.nl/,https://www.crielaersmakelaardij.nl/aanbod/woningaanbod/breda/koop/huis-10073758-Bernard-de-Wildestraat-600/,0.94,regla,realworks,False,"prijzen=8, koop=4, huur=1"
Ideale Makelaar,Breda,"Zeislaan 38, OOSTERHOUT",Noord-Brabant,nvm,https://www.idealemakelaar.nl/,https://www.idealemakelaar.nl/aanbod/koopwoningen,0.95,regla,,False,"prijzen=15, koop=2, huur=0"
Makelaarshuys Johanna en Gijs,Breda,"Nieuwe Ginnekenstraat 37, BREDA",Noord-Brabant,nvm,https://makelaarshuysjohanna.nl/,https://makelaarshuysjohanna.nl/aanbod/woningaanbod/,0.94,regla,realworks,False,"prijzen=132, koop=4, huur=2"
Bastiaansen van den Bemd Makelaars Taxateurs,Breda,"Ginnekenweg 157, BREDA",Noord-Brabant,nvm,https://www.b-vdb.nl/,,0.00,none,,False,home no cargó
Hypodomus Makelaars Breda,Breda,"Mathenessestraat 67A2, BREDA",Noord-Brabant,nvm,http://www.hypodomus-breda.nl/,http://www.hypodomus-breda.nl/aanbod/woningaanbod/,0.94,regla,realworks,False,"prijzen=132, koop=4, huur=2"
Storimans en Partners,Breda,"Ginnekenweg 161, BREDA",Noord-Brabant,nvm,https://www.storimansenpartners.nl/,,0.00,none,,False,home no cargó
Steverink en Partners,Breda,"Nieuwe Ginnekenstraat 47, BREDA",Noord-Brabant,nvm,http://www.steverink.nl/,http://www.steverink.nl/binnenkort-in-verkoop,0.76,regla,,False,"prijzen=10, koop=1, huur=0"
Bink & Partners,Breda,"Wildenborgstraat 48D, BREDA",Noord-Brabant,nvm,http://www.binkenpartners.nl/,https://binkenpartners.nl/huis-verkopen-breda/,0.30,home-fallback,wordpress,False,mejor candidato sin verificar (score=1.58)
Hendriks Makelaardij Breda,Breda,"Markendaalseweg 329A35, BREDA",Noord-Brabant,nvm,http://www.hendriks.nl/,https://hendriks.nl/woningaanbod/koop/rijsbergsebaan-13-4836-mc-breda,0.30,home-fallback,yes-co,False,mejor candidato sin verificar (score=3.50)
LUC Vastgoed Adviseurs,Breda,"Ulvenhoutselaan 79, BREDA",Noord-Brabant,nvm,https://www.lucvastgoed.nl/,https://www.lucvastgoed.nl/aanbod,0.67,regla,realworks,False,"prijzen=11, koop=3, huur=2"
Taxatie 4u,Breda,"Merelstraat 35, BREDA",Noord-Brabant,nvm,,,0.00,none,,False,
Kern Makelaars Breda B.V.,Breda,"van Coothplein 103, BREDA",Noord-Brabant,nvm,http://www.kernmakelaars.nl/,https://www.kernmakelaars.nl/aanbod/nu-in-verkoop,0.83,regla,,False,"prijzen=15, koop=2, huur=0"
Van der Sande Makelaars,Breda,"Vijverstraat 1, BREDA",Noord-Brabant,nvm,http://www.vandersande.nl/,http://www.vandersande.nl/wonen/binnenkort-in-de-verkoop,0.76,regla,,True,"prijzen=60, sin señales huur"
Bastia Real Estate BV,Breda,"Nieuwe Boschstraat 51, BREDA",Noord-Brabant,nvm,https://www.bastiarealestate.com/,https://bastiarealestate.com/woningaanbod/kwaadeindstraat-95-tilburg/,0.30,home-fallback,wordpress,True,mejor candidato sin verificar (score=1.52)
ERA Focus Makelaars Breda B.V.,Breda,"Lage Mosten 49, BREDA",Noord-Brabant,nvm,http://www.erafocus.nl/,,0.00,none,,False,sin candidatos de koop
Egan Makelaardij B.V.,Breda,"Kromme Slagen 14, BREDA",Noord-Brabant,nvm,https://www.eganmakelaardij.nl/,https://www.funda.nl/makelaars/breda/19403-egan-makelaardij-bv/woningaanbod/koop/heel-nederland/,0.30,home-fallback,,True,mejor candidato sin verificar (score=3.50)
KIN Makelaars Breda B.V.,Breda,"Korte Ploegstraat 19, BREDA",Noord-Brabant,nvm,http://www.kinmakelaars.nl/,http://www.kinmakelaars.nl/aanbod/wonen/te-koop,0.87,regla,realworks,False,"prijzen=10, koop=4, huur=3"
Van de Water Makelaars Breda,Breda,"Keizerstraat 91, BREDA",Noord-Brabant,nvm,http://www.vandewatergroep.nl/,https://vandewatergroep.nl/nieuwbouw/project/zevenbergen-markant-verkoop-gestart-schrijf-je-nu-in/,0.76,regla,realworks,False,"prijzen=324, sin señales huur"
Cranendonck Makelaars,Cranendonck,"Stationsstraat 8A, MAARHEEZE",Noord-Brabant,nvm,http://www.cranendonckmakelaars.nl/,https://www.cranendonckmakelaars.nl/aanbod/twee-onder-een-kapwoning-willem-alexanderlaan-36-maarheeze/,0.30,home-fallback,wordpress,False,mejor candidato sin verificar (score=2.62)
Bart Hut Makelaardij,Cranendonck,"Meidoornstraat 14, MAARHEEZE",Noord-Brabant,nvm,http://www.barthutmakelaardij.nl/,http://www.barthutmakelaardij.nl/aanbod/woningaanbod/maarheeze/koop/huis-10069812-Gagelstraat-14/,0.94,regla,realworks,False,"prijzen=6, koop=5, huur=0"
Hypodomus | Pieter Vriends,Deurne,"Diepenbroek 9, DEURNE",Noord-Brabant,nvm,http://www.hypodomus-eindhoven.nl/,,0.00,none,,False,home no cargó
Van Santvoort Makelaars b.v.,Deurne,"de Wever 7, DEURNE",Noord-Brabant,nvm,http://www.vansantvoort.nl/,https://www.vansantvoort.nl/woningen-zoeken/?type=koopwoningen,0.81,regla,wordpress,True,"prijzen=240, sin señales huur"
Door Martijn B.V.,Deurne,"De Meent 24a, DEURNE",Noord-Brabant,nvm,http://www.door-martijn.nl/,https://www.door-martijn.nl/ik-verkoop-een-huis,0.76,regla,,False,"prijzen=15, sin señales huur"
Bakens Makelaardij,Deurne,"Milhezerweg 4, DEURNE",Noord-Brabant,nvm,http://www.bakensmakelaardij.nl/,http://www.bakensmakelaardij.nl/aanbod/woningaanbod/helmond/koop/huis-10309030-Prins-Karelstraat-89/,0.86,regla,realworks,False,"prijzen=5, koop=4, huur=1"
NEO makelaars,Deurne,"Derpsestraat 1D, DEURNE",Noord-Brabant,nvm,https://www.neomakelaars.nl/,,0.00,none,,False,sin candidatos de koop
Assurantie- en Makelaarskantoor Swinkels B.V.,Deurne,"Kerkstraat 17, DEURNE",Noord-Brabant,nvm,http://www.makelaardijswinkels.nl/,https://www.makelaardijswinkels.nl/makelaardij/aanbod/,0.67,regla,wordpress,False,"prijzen=8, koop=3, huur=2"
Kanters Makelaars B.V.,Dongen,"Mgr. Poelsstraat 9, DONGEN",Noord-Brabant,nvm,https://www.kanters.net/,,0.00,none,,False,home no cargó
KIN Makelaars Dongen,Dongen,"Hoge Ham 93, DONGEN",Noord-Brabant,nvm,http://www.kinmakelaars.nl/,http://www.kinmakelaars.nl/aanbod/wonen/te-koop,0.87,regla,realworks,False,"prijzen=10, koop=4, huur=3"
Van den Bosch Makelaars,Dongen,"Mgr. Poelsstraat 1A, DONGEN",Noord-Brabant,nvm,http://www.vandenboschmakelaars.com/,https://www.vandenboschmakelaars.com/diensten/verkoopmakelaar/,0.30,home-fallback,realworks,False,mejor candidato sin verificar (score=1.58)
"Biemans Made, Makelaardij o.z. en Hypotheken",Drimmelen,"Marktstraat 4A, MADE",Noord-Brabant,nvm,http://www.biemansmade.nl/,http://www.biemansmade.nl/nl/diensten/verkoop,0.76,regla,realworks,False,"prijzen=3, koop=1, huur=0"
Bogaers Makelaardij,Drimmelen,"Nieuwstraat 22c, MADE",Noord-Brabant,nvm,http://www.bogaersmakelaardij.nl/,,0.00,none,,False,home no cargó
Verbrugge Makelaardij b.v.,Drimmelen,"Gangboord 11, RAAMSDONKSVEER",Noord-Brabant,nvm,http://www.verbrugge.com/,http://www.verbrugge.com/huizen,0.67,regla,wordpress,False,"prijzen=9, koop=1, huur=0"
ERA Makelaardij Amerstreek,Drimmelen,"Prins Bernhardstraat 1, RAAMSDONKSVEER",Noord-Brabant,nvm,http://www.eramakelaardijamerstreek.nl/,http://www.eramakelaardijamerstreek.nl/raamsdonksveer/era-makelaardij-amerstreek/verkoopmakelaar-raamsdonksveer,0.76,regla,,False,"prijzen=6, koop=1, huur=0"
