naam,plaats,adres,provincie,bronnen,website,koopaanbod_url,koopaanbod_confidence,koopaanbod_metodo,platform_hint,requires_js,notas
Meierijstad Makelaardij,Meierijstad,"Hoogstraat 25, VEGHEL",Noord-Brabant,nvm,http://www.demakelaarvanhier.nl/,https://demakelaarvanhier.nl/aanbod/koop-woning/,0.87,regla,wordpress,False,"prijzen=97, koop=3, huur=1"
Van der Loo Makelaardij o.z.,Meierijstad,"Hoogzoggel 1, UDEN",Noord-Brabant,nvm,http://www.vanderloomakelaardij.nl/,http://www.vanderloomakelaardij.nl/aanbod/woningaanbod/koop/,0.95,regla,realworks,False,"prijzen=122, koop=4, huur=0"
Statig Wonen makelaars,Meierijstad,"Heuvelplein 28, BEEK EN DONK",Noord-Brabant,nvm,http://www.statigwonen.nl/,https://www.statigwonen.nl/stille-verkoop/,0.76,regla,wordpress,False,"prijzen=19, koop=1, huur=0"
Ketelaars Van Zutphen Makelaardij,Meierijstad,"Plein 1969 11, HEESWIJK-DINTHER",Noord-Brabant,nvm,http://www.ketelaarsvanzutphen.nl/,http://www.ketelaarsvanzutphen.nl/aanbod/woningaanbod/koop/,0.95,regla,realworks,False,"prijzen=212, koop=4, huur=1"
Derks Makelaardij,Meierijstad,"Volkelseweg 18B, UDEN",Noord-Brabant,nvm,http://www.derksmakelaardij.nl/,http://www.derksmakelaardij.nl/aanbod/woningaanbod/uden/koop/huis-9950642-Muziekplein-108/,0.94,regla,realworks,False,"prijzen=5, koop=4, huur=0"
Trieling & Jacobs woning- en bedrijfsmakelaars,Meierijstad,"Heuvelplein 28, BEEK EN DONK",Noord-Brabant,nvm,http://www.trielingjacobs.nl/,http://www.trielingjacobs.nl/aanbod/woningaanbod/helmond/koop/huis-10205650-Malaxisbeek-8/,0.94,regla,realworks,False,"prijzen=4, koop=4, huur=0"
Leenders Makelaardij,Meierijstad,"Barbarahoeve 21, VEGHEL",Noord-Brabant,nvm,http://www.leendersmakelaardij.nl/,http://www.leendersmakelaardij.nl/aanbod/woningaanbod/erp/koop/huis-10242176-Hezelstraat-3/,0.94,regla,realworks,False,"prijzen=4, koop=4, huur=0"
ZoDus Makelaars,Meierijstad,"Wiekslag 27, VEGHEL",Noord-Brabant,nvm,https://www.zodus.nl/,,0.00,none,,False,home no cargó
Raadhage Makelaardij,Meierijstad,"Stationsstraat 20, VEGHEL",Noord-Brabant,nvm,http://www.raadhage.nl/,http://www.raadhage.nl/aanbod/woningaanbod/koop/,0.95,regla,realworks,False,"prijzen=208, koop=4, huur=1"
Makelaardij o.g. Van den Berg,Meierijstad,"Koninginnelaan 5, SINT-OEDENRODE",Noord-Brabant,nvm,http://www.vandenbergmakelaardij.nl/,http://www.vandenbergmakelaardij.nl/woningen/,0.75,regla,wordpress,False,"prijzen=4, koop=2, huur=1"
Van der Krabben Makelaardij Uden B.V.,Meierijstad,"Velmolenweg 165, UDEN",Noord-Brabant,nvm,http://www.krabben.nl/,https://www.krabben.nl/wonen/aanbod,0.67,regla,,False,"prijzen=133, koop=3, huur=0"
Meierijstad Makelaardij B.V.,Meierijstad,"Kloosterstraat 6, SCHIJNDEL",Noord-Brabant,nvm,https://www.demakelaarvanhier.nl/,https://demakelaarvanhier.nl/aanbod/koop-woning/,0.87,regla,wordpress,False,"prijzen=97, koop=3, huur=1"
Woonschuijt Makelaars,Moerdijk,"Molenstraat 12, ZEVENBERGEN",Noord-Brabant,nvm,http://www.woonschuijt.nl/,http://www.woonschuijt.nl/wonen/diensten/huis-verkopen/,0.30,home-fallback,wordpress,True,mejor candidato sin verificar (score=1.58)
Bon Makelaardij B.V.,Moerdijk,"Molenstraat 36, ZEVENBERGEN",Noord-Brabant,nvm,http://www.bonmakelaardij.nl/,http://www.bonmakelaardij.nl/aanbod/woningaanbod/zevenbergen/koop/huis-10282264-Hoefbladstraat-6/,0.86,regla,realworks,False,"prijzen=8, koop=4, huur=0"
Van Hoogdalem Makelaardij,Moerdijk,"Doctor Arienslaan 15, ZEVENBERGEN",Noord-Brabant,nvm,http://www.hoogdalem-makelaardij.nl/,http://www.hoogdalem-makelaardij.nl/aanbod/woningaanbod/koop/,0.95,regla,realworks,False,"prijzen=114, koop=4, huur=1"
Overwater Rentmeesterskantoor,Moerdijk,"Kerkstraat 54, STRIJEN",Noord-Brabant,nvm,https://www.ovtr.nl/,https://www.ovtr.nl/aanbod-objecten/,0.74,regla,wordpress,False,"prijzen=16, koop=3, huur=2"
Overwater Rentmeesterskantoor B.V.,Moerdijk,"Kerkstraat 54, STRIJEN",Noord-Brabant,nvm,,,0.00,none,,False,
Van Wensen Makelaars B.V.,Moerdijk,"Zevenbergsepoort 3, KLUNDERT",Noord-Brabant,nvm,http://www.vanwensenmakelaars.nl/,http://www.vanwensenmakelaars.nl/aanbod/woningaanbod/rotterdam/koop/huis-10367727-Bommelerwaard-8/,0.86,regla,realworks,False,"prijzen=4, koop=4, huur=0"
Waltmann Bedrijfshuisvesting,Moerdijk,"Laan van Europa 310, DORDRECHT",Noord-Brabant,nvm,https://www.waltmann.nu/,https://www.waltmann.nu/aanbod/beleggingsobjecten,0.74,regla,,False,"prijzen=3, koop=2, huur=0"
MarQuis Makelaars & taxateurs,Moerdijk,"Kerkstraat 7, 'S-GRAVENDEEL",Noord-Brabant,nvm,http://www.marquis.nl/,http://www.marquis.nl/nl/aanbod,0.88,regla,,False,"prijzen=28, sin señales huur"
Advema B.V.,Moerdijk,"Amstelwijckweg 15, DORDRECHT",Noord-Brabant,nvm,http://www.advema.nl/,,0.00,none,,False,home no cargó
Makelaarsplein,Nuenen Gerwen En Nederwetten,"De Pinckart 54, NUENEN",Noord-Brabant,nvm,http://www.makelaarsplein.com/,http://www.makelaarsplein.com/aanbod/woningaanbod/eindhoven/koop/huis-10094784-Tongelresestraat-4F/,0.94,regla,realworks,False,"prijzen=7, koop=4, huur=1"
Metselaars Makelaardij b.v.,Nuenen Gerwen En Nederwetten,"Berg 19, NUENEN",Noord-Brabant,nvm,http://www.metselaarsmakelaardij.nl/,https://metselaarsmakelaardij.nl/nl/stille-verkoop,0.76,regla,,False,"prijzen=3, koop=2, huur=0"
Vollenbroek B.V.,Nuenen Gerwen En Nederwetten,"Berg 19, NUENEN",Noord-Brabant,nvm,http://www.vollenbroekbv.com/,,0.00,none,,False,home no cargó
Hoogveldt Makelaardij,Nuenen Gerwen En Nederwetten,"Tongelresestraat 359, EINDHOVEN",Noord-Brabant,nvm,https://hoogveldtmakelaardij.nl/,,0.00,none,,False,sin candidatos de koop
Van Tuijl makelaardij,Nuenen Gerwen En Nederwetten,"Prinsenweier 19, NUENEN",Noord-Brabant,nvm,https://www.vantuijl-makelaardij.nl/,https://vantuijl-makelaardij.nl/woning-kopen/,0.75,regla,wordpress,False,"prijzen=3, koop=2, huur=0"
Van den Buijs Garantiemakelaars,Nuenen Gerwen En Nederwetten,"Park 32, NUENEN",Noord-Brabant,nvm,http://www.vandenbuijsmakelaars.nl/,http://www.vandenbuijsmakelaars.nl/woningaanbod/koop,0.30,home-fallback,realworks,False,mejor candidato sin verificar (score=4.50)
KJB Makelaardij,Nuenen Gerwen En Nederwetten,"Parkstraat 15A, NUENEN",Noord-Brabant,nvm,http://www.kjbmakelaardij.nl/,http://www.kjbmakelaardij.nl/aanbod/woningaanbod/koop/,0.95,regla,realworks,False,"prijzen=208, koop=3, huur=2"
Van Roon Makelaardij & Taxaties B.V.,Nuenen Gerwen En Nederwetten,"van Gentlaan 14, SON EN BREUGEL",Noord-Brabant,nvm,http://www.vrmt.nl/,http://www.vrmt.nl/aanbod/woningaanbod/son-en-breugel/koop/huis-10201980-Kanaaldijk-Noord-16/,0.94,regla,realworks,False,"prijzen=9, koop=5, huur=0"
Van Santvoort Makelaars B.V.,Nuenen Gerwen En Nederwetten,"Berg 2, NUENEN",Noord-Brabant,nvm,http://www.vansantvoort.nl/,https://www.vansantvoort.nl/woningen-zoeken/?type=koopwoningen,0.81,regla,wordpress,True,"prijzen=240, sin señales huur"
Van de Meerendonk Makelaars- & Hypotheekkantoor BV,Oirschot,"Rijkesluisstraat 51, OIRSCHOT",Noord-Brabant,nvm,http://www.vandemeerendonkmakelaars.nl/,http://www.vandemeerendonkmakelaars.nl/aanbod/woningaanbod/koop/,0.95,regla,realworks,False,"prijzen=206, koop=4, huur=1"
Gast Makelaardij o.g. en Assurantien,Oirschot,"Spoordonkseweg 16, OIRSCHOT",Noord-Brabant,nvm,http://www.gastmakelaardij.nl/,https://www.gastmakelaardij.nl/aanbod,0.67,regla,,False,"prijzen=8, koop=2, huur=2"
Gijs Claassen Vastgoed advies,Oirschot,"Fransebaan 4, OISTERWIJK",Noord-Brabant,nvm,https://www.gijsclaassen.nl/,https://www.gijsclaassen.nl/#aanbod,0.30,home-fallback,,True,mejor candidato sin verificar (score=0.72)
Lelieveld Makelaardij Oirschot,Oirschot,"Rijkesluisstraat 19A, OIRSCHOT",Noord-Brabant,nvm,http://www.lelieveldmakelaardij.nl/,https://www.lelieveldmakelaardij.nl/aanbod/twee-onder-een-kapwoning-van-de-pollstraat-3-vught/,0.30,home-fallback,wordpress,False,mejor candidato sin verificar (score=2.62)
Quinten Vastgoed,Oirschot,"Jonathan 8., OIRSCHOT",Noord-Brabant,nvm,https://www.funda.nl/makelaar/14351-jeroen-quinten-taxatie-en-aankoopbegeleiding/,https://www.funda.nl/makelaarsmatch,0.30,home-fallback,,True,mejor candidato sin verificar (score=1.58)
HuisMarct Makelaars,Oirschot,"St Odulphusstraat 8, OIRSCHOT",Noord-Brabant,nvm,https://www.huismarct.nl/,https://www.huismarct.nl/aanbod/twee-onder-een-kapwoning-lubberstraat-0ong-oirschot-2/,0.30,home-fallback,wordpress,False,mejor candidato sin verificar (score=2.62)
Fijne Makelaar,Oisterwijk,"Dorpsstraat 14, OISTERWIJK",Noord-Brabant,nvm,http://www.fijnemakelaar.nl/,http://www.fijnemakelaar.nl/woningen/,0.75,regla,realworks,False,"prijzen=70, koop=1, huur=1"
Elzen Winkelman Makelaars,Oisterwijk,"Baerdijk 24, OISTERWIJK",Noord-Brabant,nvm,https://www.elzenwinkelman.nl/,https://www.elzenwinkelman.nl/aanbod/woningaanbod/bestaande-bouw/,0.94,regla,realworks,False,"prijzen=208, koop=4, huur=3"
Brands Bedrijfsmakelaardij,Oisterwijk,"Rhijnkant 1114, BERKEL-ENSCHOT",Noord-Brabant,nvm,https://www.brandsbedrijfsmakelaardij.nl/,https://www.brandsbedrijfsmakelaardij.nl/aanbod/bedrijfsaanbod/boxtel/koop/bedrijf-875526-Stationsstraat-14/,0.86,regla,realworks,False,"prijzen=3, koop=4, huur=1"
Kroon Makelaardij,Oisterwijk,"Kerkstraat 5, OISTERWIJK",Noord-Brabant,nvm,http://www.kroonhuis.nl/,https://kroonhuis.nl/te-koop-moergestel/,0.30,home-fallback,realworks,False,mejor candidato sin verificar (score=1.94)
Gerritse Makelaardij,Oisterwijk,"Rhijnkant 1117, BERKEL-ENSCHOT",Noord-Brabant,nvm,https://www.gerritsemakelaardij.nl/,https://www.gerritsemakelaardij.nl/verkoop,0.30,home-fallback,,False,mejor candidato sin verificar (score=1.58)
Appeldoorn van Erven Makelaars,Oisterwijk,"Lisstraat 1, OISTERWIJK",Noord-Brabant,nvm,http://www.appeldoornvanerven.nl/,http://www.appeldoornvanerven.nl/aanbod/woningaanbod/,0.30,home-fallback,realworks,True,mejor candidato sin verificar (score=3.42)
Finesse Makelaardij,Oisterwijk,"Groenstraat 31, OISTERWIJK",Noord-Brabant,nvm,http://www.finesse-makelaardij.nl/,http://www.finesse-makelaardij.nl/aanbod/woningaanbod/goirle/koop/huis-10056470-De-Vloed-20/,0.94,regla,realworks,False,"prijzen=4, koop=4, huur=0"
Marcel Panis Makelaardij,Oisterwijk,"Eikenbosch 23, BERKEL-ENSCHOT",Noord-Brabant,nvm,http://www.panis.nl/,http://www.panis.nl/aanbod/woningaanbod/koop/,0.95,regla,realworks,False,"prijzen=194, koop=4, huur=1"
Lelieveld makelaardij,Oisterwijk,"Stationsplein 1, OISTERWIJK",Noord-Brabant,nvm,http://www.lelieveldmakelaardij.com/,https://www.lelieveldmakelaardij.nl/aanbod/twee-onder-een-kapwoning-van-de-pollstraat-3-vught/,0.30,home-fallback,wordpress,False,mejor candidato sin verificar (score=2.62)
Gijs Claassen Vastgoed advies,Oisterwijk,"Fransebaan 4, OISTERWIJK",Noord-Brabant,nvm,https://www.gijsclaassen.nl/,https://www.gijsclaassen.nl/#aanbod,0.30,home-fallback,,True,mejor candidato sin verificar (score=0.72)
Biemans B.V.,Oosterhout,"Heuvel 4, OOSTERHOUT",Noord-Brabant,nvm,http://www.biemansmakelaardij.nl/,,0.00,none,,False,home no cargó
Marjoleine Rinsma Makelaardij,Oosterhout,"Leuvenstraat 1, OOSTERHOUT",Noord-Brabant,nvm,http://www.mrmakelaardij.nl/,http://www.mrmakelaardij.nl/aanbod/woningaanbod/?inclkoop=true&inclhuur=false,0.94,regla,realworks,False,"prijzen=126, koop=4, huur=0"
Trommelen Makelaars en Taxateurs,Oosterhout,"Heuvel 10, OOSTERHOUT",Noord-Brabant,nvm,,,0.00,none,,False,
Van der Plas & De Vegt Makelaardij B.V.,Oosterhout,"Bouwlingstraat 14, OOSTERHOUT",Noord-Brabant,nvm,http://www.vdplas.nl/,http://www.vdplas.nl/aanbod/woningaanbod/oosterhout/koop/huis-10223868-Zwanendonk-2/,0.94,regla,realworks,False,"prijzen=8, koop=4, huur=0"
De Zeeuw Makelaars,Oosterhout,"Hoeveneind 15, TETERINGEN",Noord-Brabant,nvm,https://www.dezeeuwmakelaars.nl/,https://www.dezeeuwmakelaars.nl/aanbod/vrijstaande-woning-bizethof-6-raamsdonksveer/,0.30,home-fallback,wordpress,False,mejor candidato sin verificar (score=2.62)
ERA makelaars Oosterhout,Oosterhout,"IJsvogelvlinder 18, OOSTERHOUT",Noord-Brabant,nvm,http://www.eraoosterhout.nl/,http://www.eraoosterhout.nl/makelaar/oosterhout-nb/ijsvogelvlinder/era-makelaars-oosterhout/huizenaanbod,0.30,home-fallback,,False,mejor candidato sin verificar (score=0.72)
Noud Kops Woning-en Bedrijfsmakelaardij en Verzekeringen,Oosterhout,"Mathildastraat 57, OOSTERHOUT",Noord-Brabant,nvm,http://www.noudkopsmakelaardij.nl/,http://www.noudkopsmakelaardij.nl/aanbod/woningaanbod/oosterhout/koop/huis-10166294-Leeuwenstraat-28/,0.94,regla,realworks,False,"prijzen=4, koop=4, huur=0"
Klijsen Makelaars & Adviseurs,Oosterhout,"Europark 5, OOSTERHOUT",Noord-Brabant,nvm,http://www.klijsen.nl/,https://www.klijsen.nl/agrarisch-grond-te-koop-grond-kopen-in-noord-brabant/,0.30,home-fallback,realworks,False,mejor candidato sin verificar (score=1.94)
Bogaers Makelaardij,Oosterhout,"Nieuwstraat 22c, MADE",Noord-Brabant,nvm,http://www.bogaersmakelaardij.nl/,,0.00,none,,False,home no cargó
Ideale Makelaar,Oosterhout,"Zeislaan 38, OOSTERHOUT",Noord-Brabant,nvm,https://www.idealemakelaar.nl/,https://www.idealemakelaar.nl/aanbod/koopwoningen,0.95,regla,,False,"prijzen=15, koop=2, huur=0"
Verbrugge Makelaardij b.v.,Oosterhout,"Gasstraat 42, OOSTERHOUT",Noord-Brabant,nvm,http://www.verbrugge.com/,http://www.verbrugge.com/huizen,0.67,regla,wordpress,False,"prijzen=9, koop=1, huur=0"
"Biemans Made, Makelaardij o.z. en Hypotheken",Oosterhout,"Marktstraat 4A, MADE",Noord-Brabant,nvm,http://www.biemansmade.nl/,http://www.biemansmade.nl/nl/diensten/verkoop,0.76,regla,realworks,False,"prijzen=3, koop=1, huur=0"
Bato Makelaars,Oss,"Kruisstraat 25, OSS",Noord-Brabant,nvm,http://www.batomakelaars.nl/,http://www.batomakelaars.nl/aanbod/woningaanbod/koop/,0.95,regla,realworks,False,"prijzen=136, koop=4, huur=0"
Digimakelaars.nl,Oss,"Kruisstraat 70A, OSS",Noord-Brabant,nvm,http://www.digimakelaars.nl/,https://digimakelaars.nl/funda-verkoop-samen-actief/,0.76,regla,,False,"prijzen=2, koop=1, huur=0"
Van Kaam Makelaardij o.z.,Oss,"Westersingel 53-55, BERGEN OP ZOOM",Noord-Brabant,nvm,http://www.vankaammakelaardij.nl/,http://www.vankaammakelaardij.nl/aanbod/woningaanbod/,0.94,regla,realworks,False,"prijzen=132, koop=4, huur=2"
KOMwonen,Oss,"Cereslaan 8, HEESCH",Noord-Brabant,nvm,https://www.kom-wonen.nl/,https://www.kom-wonen.nl/aanbod/woningaanbod/koop/,0.95,regla,realworks,False,"prijzen=208, koop=4, huur=2"
Jansen & Van Tuijl Makelaars o.g.,Oss,"'t Dorp 4, HEESCH",Noord-Brabant,nvm,http://www.jansen-vantuijl.nl/,http://www.jansen-vantuijl.nl/aanbod/woningaanbod/oss/koop/huis-8457399-Bernhardlaan-43/,0.94,regla,realworks,False,"prijzen=7, koop=4, huur=1"
Becks Makelaardij,Oss,"Overlangelseweg 10, OVERLANGEL",Noord-Brabant,nvm,http://www.becksmakelaardij.nl/,http://www.becksmakelaardij.nl/aanbod/woningaanbod/,0.30,home-fallback,realworks,True,mejor candidato sin verificar (score=3.42)
Heuvel Makelaars,Oss,"Oostwal 241, OSS",Noord-Brabant,nvm,https://heuvelmakelaars.nl/,https://heuvelmakelaars.nl/woningaanbod/koop/oss/verdistraat-148-oss,0.95,regla,realworks,False,"prijzen=5, koop=4, huur=0"
Den Otter Van Vliet,Oss,"Cereslaan 8, HEESCH",Noord-Brabant,nvm,https://www.denottervanvliet.nl/,https://denottervanvliet.nl/aan-en-verkoop/,0.30,home-fallback,wordpress,True,mejor candidato sin verificar (score=1.58)
De Landerije Maas en Waal,Oss,"Heerewaardensestraat 34a, HEEREWAARDEN",Noord-Brabant,nvm,https://www.landerije.nl/maasenwaal,https://www.landerije.nl/diensten/stille-verkoop/,0.30,home-fallback,,True,mejor candidato sin verificar (score=1.58)
Van der Krabben Makelaardij b.v.,Oss,"Kruisstraat 21, OSS",Noord-Brabant,nvm,http://www.krabben.nl/,https://www.krabben.nl/wonen/aanbod,0.67,regla,,False,"prijzen=133, koop=3, huur=0"
Makelaardij & Taxatieburo Th.  v. Casteren,Oss,"Pastoor van Winkelstraat 39B, SCHAIJK",Noord-Brabant,nvm,http://www.vancasteren.nl/,https://www.vancasteren.nl/woningen/te-koop-herpen-kapelakker-2/,0.79,regla,realworks,False,"prijzen=2, koop=3, huur=0"
Ben Straatman Makelaardij,Reusel De Mierden,"Wilhelminalaan 68, REUSEL",Noord-Brabant,nvm,http://www.benstraatman.nl/,https://benstraatman.nl/vrijblijvend-verkoopadvies/,0.30,home-fallback,wordpress,False,mejor candidato sin verificar (score=1.58)
Nathalie van Gisbergen Lommers Makelaars,Reusel De Mierden,"Bakkerstraat 65, REUSEL",Noord-Brabant,nvm,http://www.lommersmakelaars.nl/,,0.00,none,,True,sin candidatos de koop
Lavrijsen Makelaardij,Reusel De Mierden,"Wegekker 11, REUSEL",Noord-Brabant,nvm,,,0.00,none,,False,
Marian Kemink Makelaardij,Reusel De Mierden,"De Welle 8, HOOGE MIERDE",Noord-Brabant,nvm,http://www.mariankemink.nl/,http://www.mariankemink.nl/aanbod/woningaanbod/,0.94,regla,realworks,False,"prijzen=126, koop=4, huur=2"
Noortje van der Maat Makelaardij,Roosendaal,"Brugstraat 118, ROOSENDAAL",Noord-Brabant,nvm,http://www.noortjevandermaat.nl/,http://www.noortjevandermaat.nl/index.html#aankoopbegeleiding,0.30,home-fallback,,False,mejor candidato sin verificar (score=1.06)
Kees Buijsen Makelaars,Roosendaal,"Molenstraat 10, ROOSENDAAL",Noord-Brabant,nvm,https://www.buijsenmakelaars.nl/,https://www.buijsenmakelaars.nl/aanbod/,0.75,regla,wordpress,False,"prijzen=65, koop=2, huur=0"
Lenaers Makelaardij,Roosendaal,"Nispensestraat 9, ROOSENDAAL",Noord-Brabant,nvm,http://www.lenaers.nl/,http://www.lenaers.nl/aanbod/bedrijfsaanbod/roosendaal/koop/bedrijf-874670-Bredaseweg-22/,0.86,regla,realworks,False,"prijzen=6, koop=4, huur=0"
Johan uw makelaar,Roosendaal,"Van Gilselaan 28, ROOSENDAAL",Noord-Brabant,nvm,http://www.johanuwmakelaar.nl/,http://www.johanuwmakelaar.nl/aanbod/woningaanbod/roosendaal/koop/huis-10054302-Boomgaardstraat-1d/,0.94,regla,realworks,False,"prijzen=10, koop=4, huur=1"
In de Roos Makelaardij B.V.,Roosendaal,"Dijkcentrum 65, ROOSENDAAL",Noord-Brabant,nvm,https://www.inderoosmakelaardij.nl/,,0.00,none,,False,home no cargó
Vermunt Makelaardij B.V.,Roosendaal,"Nieuwe Markt 57, ROOSENDAAL",Noord-Brabant,nvm,http://www.vermunt-makelaardij.nl/,,0.00,none,,False,home no cargó
C&R Makelaars B.V.,Roosendaal,"Kade 167, ROOSENDAAL",Noord-Brabant,nvm,https://www.crmakelaars.nl/,https://www.crmakelaars.nl/aanbod/,0.67,regla,realworks,False,"prijzen=65, koop=2, huur=0"
SuijkerBuijk bedrijfs Onroerend Goed,Roosendaal,"Laan van Brabant 62, ROOSENDAAL",Noord-Brabant,nvm,http://www.cs-makelaars.nl/,,0.00,none,,False,sin candidatos de koop
