naam,plaats,adres,provincie,bronnen,website,koopaanbod_url,koopaanbod_confidence,koopaanbod_metodo,platform_hint,requires_js,notas
Ludo van der Eijken Makelaardij o.g. B.V.,Roosendaal,"Molenstraat 44, ROOSENDAAL",Noord-Brabant,nvm,http://www.ludovandereijken.nl/,http://www.ludovandereijken.nl/woningen,0.67,regla,realworks,False,"prijzen=82, koop=2, huur=1"
Van Hassel Makelaars o.g.,Rucphen,"Raadhuisstraat 19, RUCPHEN",Noord-Brabant,nvm,http://www.vanhasselmakelaars.nl/,https://www.vanhasselmakelaars.nl/wonen/verkoop/,0.30,home-fallback,realworks,False,mejor candidato sin verificar (score=1.58)
Otter Taxaties & Advies,S Hertogenbosch,"Symon Pelgromstraat 44, 'S-HERTOGENBOSCH",Noord-Brabant,nvm,https://www.ottertaxaties.nl/,,0.00,none,wordpress,True,sin candidatos de koop
NEXT Nieuwbouwmakelaars,S Hertogenbosch,"Vughterstraat 99, 'S-HERTOGENBOSCH",Noord-Brabant,nvm,https://www.nextnieuwbouwmakelaars.nl/,,0.00,none,,False,home no cargó
Atenzijlstra Makelaars,S Hertogenbosch,"Koningsweg 97, 'S-HERTOGENBOSCH",Noord-Brabant,nvm,http://www.atenzijlstra.nl/,,0.00,none,,False,home no cargó
Stoof Taxaties,S Hertogenbosch,"Rooijensestraat 16, HOENZADRIEL",Noord-Brabant,nvm,http://www.stoof.biz/,http://www.stoof.biz/aankoop_verwerving/,0.30,home-fallback,realworks,True,mejor candidato sin verificar (score=1.06)
De Huyzerij,S Hertogenbosch,"Kruisstraat 2, 'S-HERTOGENBOSCH",Noord-Brabant,nvm,http://www.dehuyzerij.nl/,http://www.dehuyzerij.nl/aanbod/woningaanbod/'s-hertogenbosch/koop/huis-10187874-Uilenburg-32/,0.94,regla,realworks,False,"prijzen=5, koop=4, huur=0"
Hendriks Makelaardij 's-Hertogenbosch,S Hertogenbosch,"Orthenseweg 22, 'S-HERTOGENBOSCH",Noord-Brabant,nvm,http://www.hendriks.nl/,https://hendriks.nl/woningaanbod/koop/rijsbergsebaan-13-4836-mc-breda,0.30,home-fallback,yes-co,False,mejor candidato sin verificar (score=3.50)
Abelen Makelaars en Taxateurs b.v.,S Hertogenbosch,"Burg Mazairaclaan 2, ROSMALEN",Noord-Brabant,nvm,http://www.abelen.nl/,,0.00,none,,False,home no cargó
de Koster Makelaars,S Hertogenbosch,"Julianaplein 13, 'S-HERTOGENBOSCH",Noord-Brabant,nvm,http://www.dekostermakelaars.nl/,http://www.dekostermakelaars.nl/aanbod/woningaanbod/'s-hertogenbosch/koop/huis-10236410-Lange-Putstraat-35/,0.94,regla,realworks,False,"prijzen=7, koop=4, huur=1"
vb&t Makelaars Den Bosch,S Hertogenbosch,"Sonniusstraat 1G, 'S-HERTOGENBOSCH",Noord-Brabant,nvm,https://www.vbtmakelaars.nl/,https://www.vbtmakelaars.nl/aanbod-nieuwbouw-koopwoningen,0.88,regla,yes-co,False,"prijzen=14, koop=2, huur=1"
Stoffels Makelaardij B.V.,S Hertogenbosch,"Hintham 152, ROSMALEN",Noord-Brabant,nvm,http://www.stoffelsmakelaardij.nl/,http://www.stoffelsmakelaardij.nl/aanbod/woningaanbod/velddriel/koop/huis-10265314-Sint-Antoniusstraat-19a/,0.94,regla,realworks,False,"prijzen=4, koop=4, huur=0"
Kievit Makelaardij,S Hertogenbosch,"Baronieweg 6E, HEDEL",Noord-Brabant,nvm,http://www.kievitmakelaardij.com/,https://www.kievitmakelaardij.com/stille-verkoop,0.30,home-fallback,,False,mejor candidato sin verificar (score=1.58)
AMB Makelaars,S Hertogenbosch,"Onderwijsboulevard 500, 'S-HERTOGENBOSCH",Noord-Brabant,nvm,http://www.amb-makelaars.nl/,https://www.amb-makelaars.nl/aanbod,0.67,regla,,False,"prijzen=159, koop=1, huur=0"
RSP Taxaties & Vastgoedadvies B.V.,S Hertogenbosch,"Koningsweg 66, 'S-HERTOGENBOSCH",Noord-Brabant,nvm,http://www.rsptaxaties.nl/,,0.00,none,wordpress,True,sin candidatos de koop
Het Waare Huis,S Hertogenbosch,"Burg Nieuwenhuijzenstr 2, ROSMALEN",Noord-Brabant,nvm,http://www.hetwaarehuis.nl/,https://www.hetwaarehuis.nl/nieuwbouw/nieuwbouw-de-beemden-groote-wielen-noord/,0.76,regla,realworks,False,"prijzen=4, koop=2, huur=1"
DUX Real Estate B.V.,S Hertogenbosch,"Rietveldenweg 84, 'S-HERTOGENBOSCH",Noord-Brabant,nvm,https://www.duxrealestate.nl/,https://duxrealestate.nl/aanbod/s-hertogenbosch/graaf-van-solmsweg-99-e-30/,0.86,regla,wordpress,False,"prijzen=7, koop=2, huur=1"
HRS Wonen,S Hertogenbosch,"Brugstraat 33, 'S-HERTOGENBOSCH",Noord-Brabant,nvm,https://www.hrs.nl/,https://hrs.nl/wonen/binnenkort-in-de-verkoop,0.76,regla,,True,"prijzen=82, sin señales huur"
Staete Makelaars 's-Hertogenbosch,S Hertogenbosch,"van Berckelstraat 67-69, 'S-HERTOGENBOSCH",Noord-Brabant,nvm,http://www.staete.nl/,https://www.staete.nl/aanbod/wonen/tOZUao2/laan-ten-habraken-2-5291-aj/,0.78,regla,,False,"prijzen=6, koop=4, huur=0"
Overweel Makelaardij o.z.,S Hertogenbosch,"Orthenseweg 73, 'S-HERTOGENBOSCH",Noord-Brabant,nvm,http://www.overweelmakelaardij.nl/,http://www.overweelmakelaardij.nl/aanbod/woningaanbod/den-dungen/koop/huis-10229750-Poeldonk-32A/,0.94,regla,realworks,False,"prijzen=4, koop=4, huur=0"
GeWOON Makelaars,S Hertogenbosch,"Jan Mosmanslaan 61, 'S-HERTOGENBOSCH",Noord-Brabant,nvm,http://www.gewoonmakelaars.nl/,http://www.gewoonmakelaars.nl/aanbod/woningaanbod/koop,0.95,regla,realworks,False,"prijzen=116, koop=4, huur=0"
Carré De Wit makelaardij,S Hertogenbosch,"Jan Heinsstraat 2D, 'S-HERTOGENBOSCH",Noord-Brabant,nvm,https://www.carredewit.nl/,https://www.carredewit.nl/woningaanbod/,0.75,regla,realworks,False,"prijzen=61, koop=3, huur=1"
Staete Makelaars De Meierij,Sint Michielsgestel,"Nieuwstraat 41-A, SINT-MICHIELSGESTEL",Noord-Brabant,nvm,http://www.staete.nl/,https://www.staete.nl/aanbod/wonen/tOZUao2/laan-ten-habraken-2-5291-aj/,0.78,regla,,False,"prijzen=6, koop=4, huur=0"
Romeynders Makelaardij B.V.,Sint Michielsgestel,"Petrus Dondersplein 12, SINT-MICHIELSGESTEL",Noord-Brabant,nvm,http://www.romeynders.nl/,http://www.romeynders.nl/aanbod/woningaanbod/,0.94,regla,realworks,False,"prijzen=132, koop=4, huur=2"
Berkers Taxaties,Someren,"Voorste Heusden 23, HEUSDEN",Noord-Brabant,nvm,https://www.berkerstaxaties.nl/,,0.00,none,,False,sin candidatos de koop
Tulkens Makelaardij,Someren,"Vlinderveld 7, ASTEN",Noord-Brabant,nvm,http://www.tulkensmakelaardij.nl/,http://www.tulkensmakelaardij.nl/aanbod/woningaanbod/koop/,0.95,regla,realworks,False,"prijzen=202, koop=4, huur=1"
Beter Wonen makelaardij Helma de Corte,Someren,"Wilhelminastraat 51, ASTEN",Noord-Brabant,nvm,http://www.beterwonenmakelaardij.nl/,http://www.beterwonenmakelaardij.nl/aanbod/woningaanbod/asten/koop/huis-10304094-Peelkesakker-38/,0.94,regla,realworks,False,"prijzen=6, koop=5, huur=0"
Van Houts Makelaardij,Someren,"Dijkstraat 43, ASTEN",Noord-Brabant,nvm,http://www.vanhoutsmakelaardij.nl/,http://www.vanhoutsmakelaardij.nl/aanbod/woningaanbod/asten/koop/huis-10288622-Berkelaar-23/,0.86,regla,realworks,False,"prijzen=4, koop=4, huur=0"
Kruijswijk Makelaardij o.g.,Son En Breugel,"Nieuwstraat 39, SON EN BREUGEL",Noord-Brabant,nvm,http://www.kruijswijkmakelaardij.nl/,http://www.kruijswijkmakelaardij.nl/nieuws/een-aankoopmakelaar-helpt-met-de-aankoop-van-uw-droomhuis,0.30,home-fallback,,True,mejor candidato sin verificar (score=1.06)
ViaLinda,Son En Breugel,"Dommelstraat 2, SON EN BREUGEL",Noord-Brabant,nvm,https://www.vialinda.nl/,,0.00,none,,False,sin candidatos de koop
Van Roon Makelaardij & Taxaties B.V.,Son En Breugel,"van Gentlaan 14, SON EN BREUGEL",Noord-Brabant,nvm,http://www.vrmt.nl/,http://www.vrmt.nl/aanbod/woningaanbod/son-en-breugel/koop/huis-10201980-Kanaaldijk-Noord-16/,0.94,regla,realworks,False,"prijzen=9, koop=5, huur=0"
Content+ Pieter Hommel,Steenbergen,"Oudlandsestraat 7, STEENBERGEN",Noord-Brabant,nvm,https://www.contentplus.nl/,https://contentplus.nl/woningaanbod/?status%5B%5D=BESCHIKBAAR,0.75,regla,wordpress,False,"prijzen=32, koop=1, huur=1"
Van den Bosch Makelaars B.V.,Tilburg,"Ketelhavenstraat 93, TILBURG",Noord-Brabant,nvm,https://www.vandenboschmakelaars.com/,https://www.vandenboschmakelaars.com/diensten/verkoopmakelaar/,0.30,home-fallback,realworks,False,mejor candidato sin verificar (score=1.58)
Van Heeswijk Jansen Makelaars,Tilburg,"Willem de Rijkestraat 6, TILBURG",Noord-Brabant,nvm,http://www.hj-makelaars.nl/,,0.00,none,,False,sin candidatos de koop
CVDA Makelaars en Taxateurs,Tilburg,"Bosscheweg 326b, TILBURG",Noord-Brabant,nvm,https://www.cvda.nl/,https://www.cvda.nl/aanbod/woningaanbod/tilburg/koop/huis-10291668-Besterdplein-2505/,0.94,regla,realworks,False,"prijzen=7, koop=4, huur=1"
Kern Makelaars Tilburg B.V.,Tilburg,"Spoorlaan 350, TILBURG",Noord-Brabant,nvm,http://www.kernmakelaars.nl/,https://www.kernmakelaars.nl/aanbod/nu-in-verkoop,0.83,regla,,False,"prijzen=15, koop=2, huur=0"
VMG Regio Tilburg B.V.,Tilburg,"Kijkduinlaan 95, TILBURG",Noord-Brabant,nvm,http://www.vmg-makelaars.nl/,http://www.vmg-makelaars.nl/aanbod,0.67,regla,realworks,False,"prijzen=28, sin señales huur"
Lemmens Makelaardij B.V.,Tilburg,"Ringbaan-Oost 493, TILBURG",Noord-Brabant,nvm,http://www.lemmens.nl/,http://www.lemmens.nl/woningaanbod/koop/tilburg/valentijnstraat/20,0.95,regla,kolibri,False,"prijzen=3, koop=3, huur=0"
Van de Water Makelaars Tilburg,Tilburg,"Bredaseweg 368, TILBURG",Noord-Brabant,nvm,http://www.vandewatergroep.nl/,https://vandewatergroep.nl/nieuwbouw/project/zevenbergen-markant-verkoop-gestart-schrijf-je-nu-in/,0.76,regla,realworks,False,"prijzen=324, sin señales huur"
De Bont Makelaardij B.V.,Tilburg,"Willem de Rijkestraat 6, TILBURG",Noord-Brabant,nvm,http://www.debontmakelaardij.nl/,http://www.debontmakelaardij.nl/MenuID/88734/Woning,0.67,regla,,False,"prijzen=18, koop=2, huur=1"
Tivoli Woningmakelaars B.V.,Tilburg,"Tivolistraat 2, TILBURG",Noord-Brabant,nvm,https://www.tivoliwoningmakelaars.nl/,https://tivoliwoningmakelaars.nl/woningen,0.75,regla,realworks,False,"prijzen=20, koop=2, huur=0"
David de Leeuw Bedrijfsmakelaar,Tilburg,"Ellen Pankhurststraat 1, TILBURG",Noord-Brabant,nvm,http://www.daviddeleeuw.nl/,http://www.daviddeleeuw.nl/aanbod/bedrijfsaanbod/tilburg/koop/bedrijf-848358-Jellinghausstraat-220/,0.86,regla,realworks,False,"prijzen=6, koop=3, huur=0"
Karin Meier Mattern Makelaars,Tilburg,"Kijkduinlaan 97, TILBURG",Noord-Brabant,nvm,http://www.kmm-makelaars.nl/,https://kmm-makelaars.nl/aanbod/,0.67,regla,wordpress,False,"prijzen=63, koop=2, huur=0"
Makelaars- en Assurantiekantoor og bv J.H. Oldenkotte & Zn.,Tilburg,"Heuvel 50, TILBURG",Noord-Brabant,nvm,http://www.oldenkotte.com/,http://www.oldenkotte.com/aanbod/woningaanbod/koop/,0.95,regla,realworks,False,"prijzen=206, koop=5, huur=1"
M&S powered bij HRS,Tilburg,"Saal van Zwanenbergweg 1, TILBURG",Noord-Brabant,nvm,http://www.hrs.nl/,https://hrs.nl/wonen/binnenkort-in-de-verkoop,0.76,regla,,True,"prijzen=82, sin señales huur"
Hendriks Makelaardij Tilburg,Tilburg,"Besterdring 223, TILBURG",Noord-Brabant,nvm,http://www.hendriks.nl/,https://hendriks.nl/woningaanbod/koop/rijsbergsebaan-13-4836-mc-breda,0.30,home-fallback,yes-co,False,mejor candidato sin verificar (score=3.50)
Mathilde Waslander Makelaardij,Tilburg,"Meester Van Roosmalenhof 9, BERKEL-ENSCHOT",Noord-Brabant,nvm,http://www.mwmakelaardij.nl/,https://www.funda.nl/makelaars/tilburg/13157-mathilde-waslander-makelaardij/woningaanbod/koop/heel-nederland/,0.30,home-fallback,wordpress,False,mejor candidato sin verificar (score=3.50)
Hart van Brabant Makelaardij B.V.,Tilburg,"Spoorlaan 432, TILBURG",Noord-Brabant,nvm,http://www.hartvanbrabantmakelaardij.nl/,,0.00,none,,False,sin candidatos de koop
Architectuurmakelaar,Tilburg,"Nieuwlandstraat 48, TILBURG",Noord-Brabant,nvm,http://www.architectuurmakelaar.nl/,http://www.architectuurmakelaar.nl/aanbod,0.67,regla,,False,"prijzen=12, koop=1, huur=0"
KIN Makelaars Tilburg B.V.,Tilburg,"Bredaseweg 21901, TILBURG",Noord-Brabant,nvm,http://www.kinmakelaars.nl/,http://www.kinmakelaars.nl/aanbod/wonen/te-koop,0.87,regla,realworks,False,"prijzen=10, koop=4, huur=3"
Lupker Makelaardij,Tilburg,"Bredaseweg 90, TILBURG",Noord-Brabant,nvm,http://www.lupkermakelaardij.nl/,http://www.lupkermakelaardij.nl/aanbod/woningaanbod/tilburg/koop/huis-10219718-Niers-17/,0.94,regla,realworks,False,"prijzen=4, koop=4, huur=0"
Hans van Berkel Makelaardij,Tilburg,"Besterdplein 38, TILBURG",Noord-Brabant,nvm,http://www.hansvanberkel.nl/,http://www.hansvanberkel.nl/aanbod/woningaanbod/tilburg/koop/huis-10139642-Oude-Hilvarenbeekseweg-702/,0.94,regla,realworks,False,"prijzen=8, koop=4, huur=1"
Buro Kuiten B.V.,Vught,"Van Heeswijkstraat 4A, VUGHT",Noord-Brabant,nvm,,,0.00,none,,False,
Buro t'sas Makelaardij o.g,Vught,"Dorpsstraat 27, VUGHT",Noord-Brabant,nvm,http://www.tsas.nl/,,0.00,none,,False,home no cargó
Den Hollander Vastgoed Wonen B.V.,Vught,"Dorpsstraat 1, VUGHT",Noord-Brabant,nvm,http://www.beterehuizen.nl/,http://www.beterehuizen.nl/woningen/te-koop/,0.88,regla,,False,"prijzen=4, koop=2, huur=1"
MATAX Makelaardij,Vught,"Parklaan 21, 'S-HERTOGENBOSCH",Noord-Brabant,nvm,http://www.matax.nl/,,0.00,none,wordpress,False,sin candidatos de koop
Viermakelaars,Vught,"Kerkstraat 5, VUGHT",Noord-Brabant,nvm,http://www.viermakelaars.nl/,https://www.viermakelaars.nl/woningaanbod/,0.75,regla,realworks,False,"prijzen=64, koop=2, huur=0"
VALKS Makelaars,Vught,"Loonsebaan 89, VUGHT",Noord-Brabant,nvm,https://www.valksbedrijfsmakelaars.nl/,https://www.valksbedrijfsmakelaars.nl/aanbod/,0.30,home-fallback,wordpress,True,mejor candidato sin verificar (score=0.72)
AMB Makelaars,Vught,"St.-Elisabethstraat 48, VUGHT",Noord-Brabant,nvm,http://www.amb-makelaars.nl/,https://www.amb-makelaars.nl/aanbod,0.67,regla,,False,"prijzen=159, koop=1, huur=0"
ATENZIJLSTRA Makelaars,Vught,"Dorpsstraat 33, VUGHT",Noord-Brabant,nvm,http://www.atenzijlstra.nl/,,0.00,none,,False,home no cargó
Vos Makelaars,Waalre,"Willibrorduslaan 50A, WAALRE",Noord-Brabant,nvm,http://www.vosmakelaars.nl/,http://www.vosmakelaars.nl/aanbod/woningaanbod/veldhoven/koop/huis-10300444-Dotterbeek-9/,0.94,regla,realworks,False,"prijzen=4, koop=4, huur=0"
Lever Makelaardij o.g. B.V.,Waalre,"Vincent Cleerdinlaan 12, WAALRE",Noord-Brabant,nvm,http://www.levermakelaardij.nl/,https://www.levermakelaardij.nl/stille-verkoop-eindhoven/,0.30,home-fallback,wordpress,False,mejor candidato sin verificar (score=1.58)
Elias Makelaars,Waalre,"De Kranssen 77, WAALRE",Noord-Brabant,nvm,https://www.eliasmakelaars.nl/,,0.00,none,,False,sin candidatos de koop
Irene van Aken Makelaardij,Waalre,"Markt 14, WAALRE",Noord-Brabant,nvm,http://www.vanakenmakelaardij.nl/,,0.00,none,,False,sin candidatos de koop
Van Engelen de Wilde Makelaars,Waalre,"Den Hof 84a, WAALRE",Noord-Brabant,nvm,https://www.vanengelendewilde.nl/,https://www.vanengelendewilde.nl/woningaanbod-eindhoven/appartement-smelen-3-veldhoven/,0.94,regla,wordpress,False,"prijzen=2, koop=3, huur=1"
Verhagen Makelaars,Waalre,"Willibrorduslaan 27, WAALRE",Noord-Brabant,nvm,http://www.verhagenmakelaars.nl/,http://www.verhagenmakelaars.nl/aanbod/woningaanbod/valkenswaard/koop/huis-10238232-Norbertusdreef-57/,0.94,regla,realworks,False,"prijzen=6, koop=5, huur=0"
Carre de Wit makelaardij,Waalwijk,"Mr. van Coothstraat 1, WAALWIJK",Noord-Brabant,nvm,https://www.carredewit.nl/,https://www.carredewit.nl/woningaanbod/,0.75,regla,realworks,False,"prijzen=61, koop=3, huur=1"
Timmermans Makelaardij,Waalwijk,"Stationsstraat 74, WAALWIJK",Noord-Brabant,nvm,http://www.timmermansmakelaardij.nl/,http://www.timmermansmakelaardij.nl/aanbod/woningaanbod/loon-op-zand/koop/huis-9926496-Sjerpstraat-1/,0.94,regla,realworks,False,"prijzen=5, koop=4, huur=0"
Remco Olden Lommers Makelaars,Waalwijk,"Hertog Janstraat 1e, WAALWIJK",Noord-Brabant,nvm,http://www.olden.nl/,http://www.olden.nl/aanbod/woningaanbod/,0.94,regla,realworks,False,"prijzen=132, koop=4, huur=2"
AMB Makelaars Waalwijk,Waalwijk,"Marijkestraat 9, WAALWIJK",Noord-Brabant,nvm,http://www.amb-makelaars.nl/,https://www.amb-makelaars.nl/aanbod,0.67,regla,,False,"prijzen=159, koop=1, huur=0"
Staete Makelaars Waalwijk,Waalwijk,"Grotestraat 365, WAALWIJK",Noord-Brabant,nvm,http://www.staete.nl/,https://www.staete.nl/aanbod/wonen/tOZUao2/laan-ten-habraken-2-5291-aj/,0.78,regla,,False,"prijzen=6, koop=4, huur=0"
KIN Makelaars Waalwijk B.V.,Waalwijk,"Grotestraat 299, WAALWIJK",Noord-Brabant,nvm,https://www.kinmakelaars.nl/,http://www.kinmakelaars.nl/aanbod/wonen/te-koop,0.87,regla,realworks,False,"prijzen=10, koop=4, huur=3"
Van de Zande Makelaardij Waalwijk B.V.,Waalwijk,"Grotestraat 344, WAALWIJK",Noord-Brabant,nvm,http://www.zande.nl/,http://www.zande.nl/woningaanbod/,0.75,regla,realworks,False,"prijzen=65, koop=3, huur=0"
Tivoli woningmakelaars,Waalwijk,"Loeffstraat 29, WAALWIJK",Noord-Brabant,nvm,https://www.tivoliwoningmakelaars/,,0.00,none,,False,home no cargó
Ilse Vastgoed,Woensdrecht,"O Lv Vrouw ter Duinenln 133, OSSENDRECHT",Noord-Brabant,nvm,http://www.ilsevastgoed.nl/,http://www.ilsevastgoed.nl/aanbod/woningaanbod/ossendrecht/koop/huis-10066866-Looipad-11/,0.94,regla,realworks,False,"prijzen=7, koop=4, huur=0"
Vink Makelaardij,Woensdrecht,"Achillesstraat 3D, BERGEN OP ZOOM",Noord-Brabant,nvm,http://www.vinkmakelaardij.com/,http://www.vinkmakelaardij.com/woningen/beschikbaar,0.67,regla,realworks,False,"prijzen=13, koop=1, huur=0"
Brabant Makelaardij,Woensdrecht,"Guido Gezellelaan 40A, BERGEN OP ZOOM",Noord-Brabant,nvm,http://www.brabantmakelaardij.nl/,https://www.brabantmakelaardij.nl/huis-verkopen-bergen-op-zoom/,0.30,home-fallback,wordpress,False,mejor candidato sin verificar (score=1.58)
DE VIERWINDEN MAKELAARDIJ B.V.,Woensdrecht,"Antwerpsestraat 18, BERGEN OP ZOOM",Noord-Brabant,nvm,http://www.devierwindenmakelaardij.nl/,https://www.devierwindenmakelaardij.nl/property/holleweg-187-bergen-op-zoom-612,0.79,regla,realworks,False,"prijzen=2, koop=3, huur=0"
Grosfeld makelaardij,Woensdrecht,"Van Dedemstraat 196, BERGEN OP ZOOM",Noord-Brabant,nvm,,,0.00,none,,False,
Maes Makelaars,Woensdrecht,"Noordzijde Zoom 7, BERGEN OP ZOOM",Noord-Brabant,nvm,http://www.maesgroep.nl/,https://www.maesmakelaars.nl/woningen/te-koop,0.88,regla,,False,"prijzen=12, koop=2, huur=0"
Viaons Makelaardij B.V.,Woensdrecht,"De Moerkens 19, BERGEN OP ZOOM",Noord-Brabant,nvm,http://www.viaons.nl/,http://www.viaons.nl/aanbod/woningaanbod/,0.94,regla,realworks,False,"prijzen=208, koop=4, huur=2"
Van Hassel Makelaars o.g.,Zundert,"Molenstraat 50, ZUNDERT",Noord-Brabant,nvm,http://www.vanhasselmakelaars.nl/,https://www.vanhasselmakelaars.nl/wonen/verkoop/,0.30,home-fallback,realworks,False,mejor candidato sin verificar (score=1.58)
Content+ Eveline Janssens,Zundert,"Bloemenstee 13, KLEIN ZUNDERT",Noord-Brabant,nvm,https://www.contentplus.nl/,https://contentplus.nl/woningaanbod/?status%5B%5D=BESCHIKBAAR,0.75,regla,wordpress,False,"prijzen=32, koop=1, huur=1"
